Ano	Min. restantes	Tempo	Mudança	Motivo
1947	07:00	23:53	—	A contagem inicial do Relógio do Juízo Final.
1949	03:00	23:57	-4	A União Soviética testa sua primeira bomba atômica.
1953	02:00	23:58	-1	Os Estados Unidos e a União Soviética testam dispositivos termonucleares no intervalo de nove meses entre um e outro.
1960	07:00	23:53	5	Em resposta a uma percepção de um aumento da cooperação científica e compreensão pública dos perigos de armas nucleares.
1963	12:00	23:48	5	Os Estados Unidos e a União Soviética assinam o Tratado de Interdição Parcial de Ensaios Nucleares, limitando testes nucleares atmosféricos.
1968	07:00	23:53	-5	França e China adquirem e testam armas nucleares (1960 e 1964 respectivamente); guerras no Oriente Médio, subcontinente indiano, e a Guerra do Vietnã.
1969	10:00	23:50	3	O Senado dos EUA ratifica o Tratado de Não Proliferação de Armas Nucleares.
1972	12:00	23:48	2	Os Estados Unidos e a União Soviética assinam o Acordo de Limitação de Armamentos Estratégicos (SALT I) e o Tratado Anti-míssil balístico.
1974	09:00	23:51	-3	Índia testa um dispositivo nuclear (Smiling Buddha).
1980	07:00	23:53	-2	Outros impasses nas conversações EUA - URSS provocam guerras nacionalistas e ações terroristas.
1981	04:00	23:56	-3	Intensifica-se a corrida armamentista; conflitos no Afeganistão, África do Sul, e Polônia aumentam a tensão mundial.
1984	03:00	23:57	-1	Nova escala da corrida armamentista nos EUA na política de Ronald Reagan.
1988	06:00	23:54	3	Os EUA e a União Soviética assinam um tratado para eliminar as forças nucleares de alcance intermédio; melhoram as relações.
1990	10:00	23:50	4	Queda do Muro de Berlin; sucesso nos movimentos anti-comunistas na Europa Ocidental; Guerra Fria próxima ao fim.
1991	17:00	23:43	7	Os Estados Unidos e a União Soviética assinam o Tratado de Redução de Armamentos Estratégicos (Strategic Arms Reduction Treaty). O relógio está na sua maior distância da meia-noite até hoje.
1995	14:00	23:46	-3	Despesas militares globais continuam nos níveis da Guerra Fria; preocupações com a inteligência e a proliferação de armas nucleares soviéticas.
1998	09:00	23:51	-5	Índia e Paquistão testam armas nucleares; Estados Unidos e Rússia entram em dificuldades em reduzir os estoques.
2002	07:00	23:53	-2	Pequeno progresso sobre o desarmamento nuclear global; Estados Unidos rejeita uma série de tratados de controle de armamento e anuncia a sua intenção de se retirar do Tratado Anti-Mísseis Balísticos; terroristas procuram adquirir armas nucleares.
2007	05:00	23:55	-2	Recente teste nuclear da Coreia do Norte; ambições nucleares do Irã. Novo interesse dos EUA sobre a utilidade militar de armas nucleares; a não suficiente adequação dos materiais nucleares, bem como a continuação de cerca de 26000 armas nucleares nos Estados Unidos e na Rússia. Especialistas avaliam os riscos para a civilização ter acrescentado o Aquecimento Global e a perspetiva de uma aniquilação nuclear como as maiores ameaças à humanidade.
2010	06:00	23:54	1	Cooperação mundial para reduzir arsenais nucleares e compromissos para limitar as emissões de gases que comprometem a estabilidade climática.[21]
2012	05:00	23:55	-1	Piora na situação mundial devido aos perigos de proliferação nuclear e mudança climática.
2015	03:00	23:57	-2	Os líderes globais, “falharam em agir na velocidade ou escala requerida para proteger os cidadãos de uma potencial catástrofe, seja pelo aquecimento global ou na luta contra a corrida armamentista nuclear”.[22]
2017	02:30	23:57:30	-1⁄2	Aumento do nacionalismo, comentários do presidente dos Estados Unidos, Donald Trump, sobre as armas nucleares, a ameaça de uma renovada corrida armamentista entre os EUA e a Rússia e a descrença no consenso científico sobre a mudança climática pela Administração Trump.[23][24][25][26] Este é o primeiro uso de uma fração no tempo.
2018	02:00	23:58	-1⁄2	Significativos avanços na tecnologia de armas nucleares norte-coreana, ações provocativas trocadas entre Coreia do Norte e Estados Unidos[19]. Até então, a última vez que o relógio esteve tão perto da meia noite foi em 1953.
2019	02:00	23:58	0	Os líderes mundiais não reconheceram ou realizaram esforços para que a situação climática global tenha melhorado.
2020	01:40	23:58:20	−1⁄3	O fracasso dos líderes mundiais em lidar com ameaças cada vez mais prováveis ​​de guerra nuclear, como o fim do Tratado de Forças Nucleares de Alcance Intermediário (INF) entre os Estados Unidos e a Rússia, bem como o aumento das tensões entre os EUA e o Irã, fracasso contínuo no combate às mudanças climáticas e a pandemia de coronavírus (Covid-19) . Esta é a posição mais próxima do relógio à meia-noite, excedendo a de 1953 e 2018.[27]
2023	01:30	23:58:30	−1⁄6	A Guerra entre a Rússia e a Ucrânia ameaça a estabilidade global e aumenta o temor de uma guerra nuclear, além da falta de empenho das potências mundiais em combater as mudanças climáticas. Os ponteiros do relógio permaneceram imóveis nos anos de 2021 e 2022, porém agora estão ainda mais próximos da meia-noite.[28]